DATETIME,RECIPE,ANGLE,RESULT,MOVEMENT_HEAD1_X,MOVEMENT_HEAD2_X,MOVEMENT_HEAD3_X,MOVEMENT_HEAD4_X,MOVEMENT_Y,MOVEMENT_T,HEAD1_RESULT,HEAD1_PIXEL_X,HEAD1_PIXEL_Y,HEAD1_FILE,HEAD2_RESULT,HEAD2_PIXEL_X,HEAD2_PIXEL_Y,HEAD2_FILE,HEAD3_RESULT,HEAD3_PIXEL_X,HEAD3_PIXEL_Y,HEAD3_FILE,HEAD4_RESULT,HEAD4_PIXEL_X,HEAD4_PIXEL_Y,HEAD4_FILE
STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING
2017.01.20 00:34:54 307,TFT_SIDE5.46,90,RETRY,-0.0021,-0.008,-0.0112,-0.0007,0.0007,0.00029,True,640.997740281456,480.671298844484,.\Image\Alignment\2017\01\20\00.34.54 307\Head1.jpg,True,643.0186742244,481.047131811422,.\Image\Alignment\2017\01\20\00.34.54 307\Head2.jpg,True,643.865048758851,480.250505242983,.\Image\Alignment\2017\01\20\00.34.54 307\Head3.jpg,True,640.613901795799,479.850756648466,.\Image\Alignment\2017\01\20\00.34.54 307\Head4.jpg
2017.01.20 00:34:56 176,TFT_SIDE5.46,90,RETRY,-0.0004,0.0018,0.0013,-0.0007,0.0002,-0.00011,True,639.946770032202,479.853666766242,.\Image\Alignment\2017\01\20\00.34.56 176\Head1.jpg,True,640.364774426302,480.944745143052,.\Image\Alignment\2017\01\20\00.34.56 176\Head2.jpg,True,640.511747661223,480.170210820997,.\Image\Alignment\2017\01\20\00.34.56 176\Head3.jpg,True,640.029042522332,480.169509008804,.\Image\Alignment\2017\01\20\00.34.56 176\Head4.jpg
2017.01.20 00:34:57 868,TFT_SIDE5.46,90,OK,0.0004,-0.0039,-0.0034,-0.0007,0,0,True,639.905903141379,480.113132211861,.\Image\Alignment\2017\01\20\00.34.57 868\Head1.jpg,True,641.04495134579,480.618441006494,.\Image\Alignment\2017\01\20\00.34.57 868\Head2.jpg,True,640.917825684559,480.199753754649,.\Image\Alignment\2017\01\20\00.34.57 868\Head3.jpg,True,640.195891938021,479.847409373634,.\Image\Alignment\2017\01\20\00.34.57 868\Head4.jpg
2017.01.20 00:49:36 751,TFT_SIDE5.46,0,RETRY,-0.4585,-0.5392,-0.6722,-0.5417,0.0612,0.00624,True,773.468398356951,505.288429708481,.\Image\Alignment\2017\01\20\00.49.36 751\Head1.jpg,True,774.898477728976,494.247807818016,.\Image\Alignment\2017\01\20\00.49.36 751\Head2.jpg,True,810.029595525029,499.410272757725,.\Image\Alignment\2017\01\20\00.49.36 751\Head3.jpg,True,795.126151987238,487.898528543792,.\Image\Alignment\2017\01\20\00.49.36 751\Head4.jpg
2017.01.20 00:49:38 591,TFT_SIDE5.46,0,RETRY,-0.0217,0.0473,0.0467,-0.02,-0.0097,-0.00333,True,639.903345184804,472.599161213808,.\Image\Alignment\2017\01\20\00.49.38 591\Head1.jpg,True,621.067388296806,476.783173435052,.\Image\Alignment\2017\01\20\00.49.38 591\Head2.jpg,True,621.252075333235,480.191773627643,.\Image\Alignment\2017\01\20\00.49.38 591\Head3.jpg,True,639.451480242669,482.266078626552,.\Image\Alignment\2017\01\20\00.49.38 591\Head4.jpg
2017.01.20 00:49:40 323,TFT_SIDE5.46,0,OK,-0.0006,0.0033,0.0025,-0.0006,0,0,True,640.173029082785,480.077503564335,.\Image\Alignment\2017\01\20\00.49.40 323\Head1.jpg,True,639.118194483857,481.015193533558,.\Image\Alignment\2017\01\20\00.49.40 323\Head2.jpg,True,639.343832773956,481.286370531076,.\Image\Alignment\2017\01\20\00.49.40 323\Head3.jpg,True,640.172423117144,480.212240602957,.\Image\Alignment\2017\01\20\00.49.40 323\Head4.jpg
2017.01.20 00:49:59 029,TFT_SIDE5.46,90,RETRY,-0.0497,-0.0239,-0.1532,-0.1266,0.1718,-0.00891,True,640.380365396741,510.929723930508,.\Image\Alignment\2017\01\20\00.49.59 029\Head1.jpg,True,642.598202609165,523.595653862408,.\Image\Alignment\2017\01\20\00.49.59 029\Head2.jpg,True,676.746330210798,527.162930067746,.\Image\Alignment\2017\01\20\00.49.59 029\Head3.jpg,True,660.571337238059,535.915539865459,.\Image\Alignment\2017\01\20\00.49.59 029\Head4.jpg
2017.01.20 00:50:00 734,TFT_SIDE5.46,90,RETRY,0.0003,-0.0301,-0.0306,-0.0003,-0.0168,0.00031,True,640.351621242905,476.029989111139,.\Image\Alignment\2017\01\20\00.50.00 734\Head1.jpg,True,648.977135857335,476.668750858225,.\Image\Alignment\2017\01\20\00.50.00 734\Head2.jpg,True,649.109375584263,475.802564058289,.\Image\Alignment\2017\01\20\00.50.00 734\Head3.jpg,True,640.544214611296,475.183552218934,.\Image\Alignment\2017\01\20\00.50.00 734\Head4.jpg
2017.01.20 00:50:02 560,TFT_SIDE5.46,90,OK,0.0008,-0.0017,-0.0015,0.0005,0,0,True,639.783297342426,480.552360036349,.\Image\Alignment\2017\01\20\00.50.02 560\Head1.jpg,True,640.461958510391,480.900139170692,.\Image\Alignment\2017\01\20\00.50.02 560\Head2.jpg,True,640.402088500301,479.458964932146,.\Image\Alignment\2017\01\20\00.50.02 560\Head3.jpg,True,639.860775564801,480.715802202371,.\Image\Alignment\2017\01\20\00.50.02 560\Head4.jpg
2017.01.20 00:59:01 617,TFT_SIDE5.46,0,RETRY,-0.577,-0.602,-0.7405,-0.6576,-0.011,-0.01064,True,775.262590622276,461.513544837037,.\Image\Alignment\2017\01\20\00.59.01 617\Head1.jpg,True,775.847998350066,473.72784215082,.\Image\Alignment\2017\01\20\00.59.01 617\Head2.jpg,True,812.484561746908,487.488195521933,.\Image\Alignment\2017\01\20\00.59.01 617\Head3.jpg,True,796.239560360832,493.156562558522,.\Image\Alignment\2017\01\20\00.59.01 617\Head4.jpg
